,classify,feature,1-open,1-high,1-low,1-close,1-volume,1-adj close,2-open,2-high,2-low,2-close,2-volume,2-adj close,3-open,3-high,3-low,3-close,3-volume,3-adj close
95,1,-0.16932191220324141,67.10,67.80,66.90,67.70,8115059,67.65,66.80,67.55,66.65,67.10,11640582,67.05,65.95,66.75,65.85,66.55,9614792,66.55
96,1,0.37138876717878344,66.80,67.55,66.65,67.10,11640582,67.05,65.95,66.75,65.85,66.55,9614792,66.55,65.30,66.00,65.20,65.95,7584505,65.90
97,1,0.06149707230291606,65.95,66.75,65.85,66.55,9614792,66.55,65.30,66.00,65.20,65.95,7584505,65.90,65.35,65.35,64.50,65.35,9225169,65.30
98,1,-0.20496564436907289,65.30,66.00,65.20,65.95,7584505,65.90,65.35,65.35,64.50,65.35,9225169,65.30,64.75,65.40,64.75,65.35,9208018,65.35
99,1,0.1936680027312223,65.35,65.35,64.50,65.35,9225169,65.30,64.75,65.40,64.75,65.35,9208018,65.35,64.65,64.80,64.60,64.65,7516190,64.65
100,1,0.14052517966320766,64.75,65.40,64.75,65.35,9208018,65.35,64.65,64.80,64.60,64.65,7516190,64.65,64.85,65.05,64.70,64.80,7963338,64.75
101,1,-0.8325301937928592,64.65,64.80,64.60,64.65,7516190,64.65,64.85,65.05,64.70,64.80,7963338,64.75,64.80,65.00,64.60,64.70,13750447,64.70
102,-1,0.5524756156020352,64.85,65.05,64.70,64.80,7963338,64.75,64.80,65.00,64.60,64.70,13750447,64.70,64.95,65.10,64.70,64.75,3557667,64.75
103,1,0.27683410823494853,64.80,65.00,64.60,64.70,13750447,64.70,64.95,65.10,64.70,64.75,3557667,64.75,64.65,65.05,64.55,64.95,9933277,64.95
104,-1,-1.6753977314903719,64.95,65.10,64.70,64.75,3557667,64.75,64.65,65.05,64.55,64.95,9933277,64.95,64.40,64.80,64.30,64.50,9534569,64.50
105,-1,0.6212642927164642,64.65,65.05,64.55,64.95,9933277,64.95,64.40,64.80,64.30,64.50,9534569,64.50,63.90,64.45,63.85,64.35,3853708,64.35
106,1,0.7390836154623309,64.40,64.80,64.30,64.50,9534569,64.50,63.90,64.45,63.85,64.35,3853708,64.35,63.85,64.00,63.60,63.90,2605436,63.85
107,1,0.1464243189763391,63.90,64.45,63.85,64.35,3853708,64.35,63.85,64.00,63.60,63.90,2605436,63.85,63.90,63.90,63.70,63.85,3322318,63.85
108,1,-0.7318260720086771,63.85,64.00,63.60,63.90,2605436,63.85,63.90,63.90,63.70,63.85,3322318,63.85,64.00,64.10,63.90,64.00,4508091,63.95
109,1,-0.522052482615271,63.90,63.90,63.70,63.85,3322318,63.85,64.00,64.10,63.90,64.00,4508091,63.95,64.20,64.25,64.05,64.15,5038545,64.15
110,-1,-0.5210872643325661,64.00,64.10,63.90,64.00,4508091,63.95,64.20,64.25,64.05,64.15,5038545,64.15,63.85,64.30,63.85,64.20,6843134,64.20
111,-1,0.23321799716800304,64.20,64.25,64.05,64.15,5038545,64.15,63.85,64.30,63.85,64.20,6843134,64.20,63.60,63.85,63.60,63.80,3894834,63.75
112,-1,0.49864854401488495,63.85,64.30,63.85,64.20,6843134,64.20,63.60,63.85,63.60,63.80,3894834,63.75,63.65,63.75,63.40,63.55,3489349,63.50
113,1,0.5697610956553498,63.60,63.85,63.60,63.80,3894834,63.75,63.65,63.75,63.40,63.55,3489349,63.50,63.30,63.40,63.10,63.40,1703159,63.35
114,1,0.03154541929021778,63.65,63.75,63.40,63.55,3489349,63.50,63.30,63.40,63.10,63.40,1703159,63.35,63.40,63.55,63.30,63.40,3390223,63.35
115,1,-2.001176745877062,63.30,63.40,63.10,63.40,1703159,63.35,63.40,63.55,63.30,63.40,3390223,63.35,63.15,63.45,62.80,63.15,5110138,63.15
116,1,-0.9793256274643641,63.40,63.55,63.30,63.40,3390223,63.35,63.15,63.45,62.80,63.15,5110138,63.15,63.40,63.45,63.10,63.10,6715690,63.05
117,1,-0.871764423482538,63.15,63.45,62.80,63.15,5110138,63.15,63.40,63.45,63.10,63.10,6715690,63.05,63.70,63.70,63.40,63.40,9544840,63.40
118,1,-0.7398256595069057,63.40,63.45,63.10,63.10,6715690,63.05,63.70,63.70,63.40,63.40,9544840,63.40,63.15,63.80,63.15,63.70,11647085,63.70
119,-1,0.16611155882941925,63.70,63.70,63.40,63.40,9544840,63.40,63.15,63.80,63.15,63.70,11647085,63.70,63.05,63.20,62.95,63.10,8034252,63.10
120,-1,0.26882214166512897,63.15,63.80,63.15,63.70,11647085,63.70,63.05,63.20,62.95,63.10,8034252,63.10,62.85,63.10,62.85,63.05,8643880,63.00
121,1,-0.6691760138775957,63.05,63.20,62.95,63.10,8034252,63.10,62.85,63.10,62.85,63.05,8643880,63.00,62.85,62.90,62.65,62.75,13448718,62.75
122,1,-0.689495324768569,62.85,63.10,62.85,63.05,8643880,63.00,62.85,62.90,62.65,62.75,13448718,62.75,62.00,62.65,61.95,62.65,14665439,62.60
123,1,0.5260115326892519,62.85,62.90,62.65,62.75,13448718,62.75,62.00,62.65,61.95,62.65,14665439,62.60,62.00,62.20,61.75,61.80,6524205,61.80
124,1,0.3273330465467582,62.00,62.65,61.95,62.65,14665439,62.60,62.00,62.20,61.75,61.80,6524205,61.80,61.90,62.30,61.90,62.10,9946886,62.10
125,1,-0.09513769859693215,62.00,62.20,61.75,61.80,6524205,61.80,61.90,62.30,61.90,62.10,9946886,62.10,61.85,62.00,61.80,61.85,7165881,61.85
126,-1,0.08847849378908625,61.90,62.30,61.90,62.10,9946886,62.10,61.85,62.00,61.80,61.85,7165881,61.85,61.65,61.85,61.40,61.85,9138648,61.80
127,1,-0.24007602011937298,61.85,62.00,61.80,61.85,7165881,61.85,61.65,61.85,61.40,61.85,9138648,61.80,61.75,61.85,61.55,61.75,8903574,61.75
128,1,-0.1743723195148221,61.65,61.85,61.40,61.85,9138648,61.80,61.75,61.85,61.55,61.75,8903574,61.75,61.60,61.80,61.45,61.80,10739563,61.80
129,1,0.37145256847207253,61.75,61.85,61.55,61.75,8903574,61.75,61.60,61.80,61.45,61.80,10739563,61.80,61.60,61.75,61.35,61.45,5610714,61.45
130,-1,0.6385768025170925,61.60,61.80,61.45,61.80,10739563,61.80,61.60,61.75,61.35,61.45,5610714,61.45,61.50,61.50,61.10,61.15,3933661,61.15
131,1,0.29750916255609916,61.60,61.75,61.35,61.45,5610714,61.45,61.50,61.50,61.10,61.15,3933661,61.15,61.70,61.85,61.45,61.45,3932389,61.45
132,1,0.020285507923055328,61.50,61.50,61.10,61.15,3933661,61.15,61.70,61.85,61.45,61.45,3932389,61.45,61.60,61.85,61.40,61.85,3831478,61.80
133,-1,-0.9993014774045154,61.70,61.85,61.45,61.45,3932389,61.45,61.60,61.85,61.40,61.85,3831478,61.80,61.50,61.60,61.20,61.40,7877926,61.40
134,-1,-1.6901676609855325,61.60,61.85,61.40,61.85,3831478,61.80,61.50,61.60,61.20,61.40,7877926,61.40,61.50,61.75,61.10,61.55,10313513,61.55
135,1,0.13100313458136062,61.50,61.60,61.20,61.40,7877926,61.40,61.50,61.75,61.10,61.55,10313513,61.55,61.55,61.60,61.00,61.20,6845893,61.20
136,-1,0.26018070131332843,61.50,61.75,61.10,61.55,10313513,61.55,61.55,61.60,61.00,61.20,6845893,61.20,61.15,61.65,61.15,61.30,7646838,61.25
137,1,0.1846980655399531,61.55,61.60,61.00,61.20,6845893,61.20,61.15,61.65,61.15,61.30,7646838,61.25,61.40,61.45,60.80,61.00,5598140,61.00
138,-1,0.14992843385141338,61.15,61.65,61.15,61.30,7646838,61.25,61.40,61.45,60.80,61.00,5598140,61.00,61.25,61.50,61.10,61.35,6518965,61.30
139,1,-0.5161139300937694,61.40,61.45,60.80,61.00,5598140,61.00,61.25,61.50,61.10,61.35,6518965,61.30,60.30,61.50,60.30,61.25,8482863,61.20
140,-1,-2.518191588583202,61.25,61.50,61.10,61.35,6518965,61.30,60.30,61.50,60.30,61.25,8482863,61.20,61.65,61.80,60.60,60.70,22903168,60.70
141,1,0.4624945823701037,60.30,61.50,60.30,61.25,8482863,61.20,61.65,61.80,60.60,60.70,22903168,60.70,61.70,61.80,61.60,61.75,4518205,61.75
142,1,0.7563758709717775,61.65,61.80,60.60,60.70,22903168,60.70,61.70,61.80,61.60,61.75,4518205,61.75,61.85,62.05,61.50,61.65,5487114,61.65
143,-1,-1.0248575522780157,61.70,61.80,61.60,61.75,4518205,61.75,61.85,62.05,61.50,61.65,5487114,61.65,61.55,61.95,61.55,61.75,9137755,61.75
144,1,0.38578353019610323,61.85,62.05,61.50,61.65,5487114,61.65,61.55,61.95,61.55,61.75,9137755,61.75,61.45,61.65,61.45,61.55,3405648,61.55
145,-1,0.22679291630420445,61.55,61.95,61.55,61.75,9137755,61.75,61.45,61.65,61.45,61.55,3405648,61.55,61.75,61.90,61.50,61.55,7072752,61.55
146,1,-0.03298185437094376,61.45,61.65,61.45,61.55,3405648,61.55,61.75,61.90,61.50,61.55,7072752,61.55,61.30,61.40,61.10,61.15,3531783,61.15
147,1,0.009722576841102476,61.75,61.90,61.50,61.55,7072752,61.55,61.30,61.40,61.10,61.15,3531783,61.15,61.35,61.50,61.10,61.30,7049691,61.30
148,1,-2.9346392586374286,61.30,61.40,61.10,61.15,3531783,61.15,61.35,61.50,61.10,61.30,7049691,61.30,61.20,61.45,61.20,61.35,13893416,61.30
149,-1,-0.8954893573937687,61.35,61.50,61.10,61.30,7049691,61.30,61.20,61.45,61.20,61.35,13893416,61.30,61.10,61.20,60.90,61.05,13397003,61.05
150,-1,-0.07614333972189982,61.20,61.45,61.20,61.35,13893416,61.30,61.10,61.20,60.90,61.05,13397003,61.05,60.80,61.15,60.80,61.15,15019135,61.15
151,1,-0.008349742683328243,61.10,61.20,60.90,61.05,13397003,61.05,60.80,61.15,60.80,61.15,15019135,61.15,61.25,61.30,60.90,61.20,13486974,61.20
152,-1,0.19737165744064045,60.80,61.15,60.80,61.15,15019135,61.15,61.25,61.30,60.90,61.20,13486974,61.20,60.80,61.10,60.80,61.00,12067064,61.00
153,-1,-0.03239471243675131,61.25,61.30,60.90,61.20,13486974,61.20,60.80,61.10,60.80,61.00,12067064,61.00,60.45,60.90,60.45,60.80,14011887,60.80
154,1,0.06673066236211962,60.80,61.10,60.80,61.00,12067064,61.00,60.45,60.90,60.45,60.80,14011887,60.80,60.40,60.50,60.30,60.50,11380319,60.45
155,1,0.09849158701356413,60.45,60.90,60.45,60.80,14011887,60.80,60.40,60.50,60.30,60.50,11380319,60.45,60.80,60.95,60.65,60.65,12620330,60.65
156,1,-0.6895064971449961,60.40,60.50,60.30,60.50,11380319,60.45,60.80,60.95,60.65,60.65,12620330,60.65,60.80,61.15,60.80,60.80,19104855,60.80
